name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude, search_keyword
E-com Culture,"Fazantenhof 57, 3755 EE Eemnes",,06 39722184,0,0.0,52.253993,4.6857112
Yep. E-commerce Marketing,"Lange Nieuwstraat 66, 3512 PL Utrecht",mondomarketing.nl,085 060 1066,44,4.8,52.103175,4.9344627
Like Honey | Growth & AI Marketing,"Schaverijstraat 11, 3534 AS Utrecht",likehoney.nl,030 700 9714,6,5.0,52.1314721,5.3574193
Yep. E-commerce Marketing,"Lange Nieuwstraat 66, 3512 PL Utrecht",yep.marketing,030 227 0393,0,0.0,52.253993,4.6857112
Dutch Global Trading Company B.v.,"Kosmonaut 11, 3824 MK Amersfoort",,,1,5.0,52.253993,4.6857112
E-Commerce Center Europe B.V.,"Koperslager 8, 6422 PR Heerlen",ecommerce-centereurope.com,045 230 1777,6,4.2,52.253993,4.6857112
Yep. E-commerce Marketing,"Lange Nieuwstraat 66, 3512 PL Utrecht",yep.marketing,030 227 0393,0,0.0,52.1061034,4.9143362
"MondoMarketing Online Marketing bureau Utrecht o.a. SEA, SEO","Europalaan 2B - G1.14, 3526 KS Utrecht",mondomarketing.nl,085 060 1066,44,4.8,52.1061034,4.9143362
TIC Online Marketing,"Europalaan 2, 3526 KS Utrecht",ticonlinemarketing.nl,030 207 2770,35,4.8,52.1061034,4.9143362
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,52.1061034,4.9143362
Chase Marketing | Online Marketing Bureau Amsterdam,"Weesperstraat 394, 1018 DN Amsterdam",chasemarketing.nl,020 244 2580,52,4.5,52.1345199,5.2587953
GMNL,"Blaak 333, 3011 GB Rotterdam",gmnl.nl,085 303 0252,120,4.9,52.3637183,4.617856
E-commerce findings,"Oranjerivierdreef 14B, 3564 BE Utrecht",,06 21169985,0,0.0,52.1209421,4.5323082
Duxly e-com partners,"Nieuwezijds Voorburgwal 21, 1012 RC Amsterdam",duxly.nl,020 244 1514,17,5.0,52.1209421,4.5323082
Utrecht,"Arthur van Schendelstraat 650, 3511 MJ Utrecht",,030 307 2240,2,4.5,52.1209421,4.5323082
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.0858427,4.9591346
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,52.1209421,4.5323082
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.0858427,4.9591346
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,52.1345199,4.9704042
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,06 38157306,405,4.4,52.0858427,4.9591346
Ecomwise B.V. - Jouw B2B e-commerce specialist.,"Reykjavikstraat 1, 3543 KB Utrecht",ecomwise.com,030 227 0465,2,5.0,52.1008789,4.4873749
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.8081537,4.5073866
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,5.0738905
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,51.9404424,5.0738905
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.2200236,5.0961922
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,06 38157306,405,4.4,51.8081537,4.5073866
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,51.9404424,5.0738905
Centraal Museum Evenementen,"Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.0827588,4.9810128
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.1322468,5.0064869
Event Center Culemborg B.V.,"Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,51.9367734,5.0581561
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.1529837,5.0276634
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,52.0470348,4.9464634
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,5.0738905
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.0827588,4.9810128
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.1225149,4.996552
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.0470348,4.9464634
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,5.0738905
E-Commerce in Holland,"Specerijenhof 13, 3063 BX Rotterdam",,06 22555546,0,0.0,51.9191931,4.1971415
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,52.0827588,4.9810128
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.1163992,4.9903099
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,51.999352,5.0035038
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.0827588,4.9810128
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.0827588,4.9810128
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,405,4.4,52.0827588,4.9810128
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,51.9114438,4.9495663
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.2200236,5.0336048
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.0858427,4.8149391
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,06 38157306,405,4.4,52.0858427,4.8149391
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.8081537,4.3631911
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,51.9404424,4.929695
E-Commerce in Holland,"Specerijenhof 13, 3063 BX Rotterdam",,06 22555546,0,0.0,52.0930955,4.5352669
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.0827588,4.8368173
WeightWorld Nederland,"Keizersgracht 482, 1017 EG Amsterdam",weightworld.nl,,1,1.0,52.0930955,4.5352669
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,52.2200236,4.9519967
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9761281,4.6361195
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.2200236,4.9519967
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.0858427,4.8149391
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,06 38157306,405,4.4,51.8081537,4.3631911
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,52.0827588,4.8368173
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",eventcenterculemborg.nl,,6,3.8,52.1322468,4.8622913
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,190,4.3,51.9404424,4.929695
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.2200236,4.9519967
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9689279,4.6243996
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,030 295 5911,13348,4.1,52.2200236,4.9519967
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,6,4.3,52.0858427,4.8149391
Ecommerce Result,"Vredenburg 40, 3511 BD Utrecht",ecommerceresult.com,085 888 4750,0,0.0,52.0930955,4.823658
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
Reason Online Marketing,"Koninginnegracht 14 D, 2514 AA Den Haag",reason.nl,070 820 0348,27,5.0,52.0930955,4.823658
Ecomwise B.V. - Jouw B2B e-commerce specialist.,"Reykjavikstraat 1, 3543 KB Utrecht",ecomwise.com,030 227 0465,2,5.0,52.0870814,4.0254075
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.208959,4.9426992
GetForward,"Kaap Hoorndreef 66, 3563 AW Utrecht",getforward.nl,030 207 3300,60,4.9,52.1008789,4.775766
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,52.0470348,4.8022679
Event Center Culemborg B.V.,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,52.0470348,4.8022679
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,52.0470348,4.8022679
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",eventcenterculemborg.nl,,6,3.8,51.9949374,4.6638148
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,035 646 0200,190,4.3,51.9404424,4.929695
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,06 38157306,405,4.4,52.2200236,4.9519967
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,,6,3.8,51.8081537,4.3631911
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,190,4.8,52.0827588,4.8368173
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.0859352,4.8150334
Event Center Dordrecht,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.8081537,4.3631911
Logistiek en E-commerce 2017,"Beneluxlaan 2C, 3446 GR Woerden",logistiekenecommerce.nl,0348 485 082,0,0.0,52.3662616,4.3083807
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,51.9404424,4.929695
Logistiek en E-commerce 2017,"Godebaldkwartier 54, 3511 DX Utrecht",hoog-catharijne.klepierre.nl,,28452,4.3,52.3662616,4.3083807
NBC Congrescentrum,"Blokhoeve 1, 3438 LC Nieuwegein",nbccongrescentrum.nl,030 602 6900,1434,4.3,52.0827588,4.8368173
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9456664,4.6000042
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,51.9404424,4.929695
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,13348,4.1,52.2200236,4.9519967
Event Center Dordrecht,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9616661,4.6125813
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,035 646 0200,190,4.3,52.0827588,4.8368173
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,1434,4.3,52.2200236,4.9519967
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,52.0858427,4.8149391
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.0827588,4.8368173
Event Center Dordrecht,"Laan der Verenigde Naties 52, 3314 DA Dordrecht",ecdordrecht.nl,06 38157306,6,3.8,51.8081537,4.3631911
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Zandheuvelweg 7, 3744 MN Baarn",bomencentrumnederland.nl,035 646 0200,190,4.3,51.9827324,4.9021267
Logistiek en E-commerce 2017,"Beneluxlaan 2C, 3446 GR Woerden",logistiekenecommerce.nl,0348 485 082,0,0.0,52.0852748,4.6099223
Stuurlui,"Nijverheidsweg 16 G, 3534 AM Utrecht",stuurlui.nl,030 227 4000,126,4.8,52.0852748,4.6099223
Stuurlui,"Schaverijstraat 11, 3534 AS Utrecht",likehoney.nl,030 700 9714,6,5.0,52.103175,4.7902672
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,51.9404424,4.929695
Online Commerce Group B.V.,"Plettenburg-Zuid, Veluwehaven 1, 3433 PW Nieuwegein",,030 737 0008,0,0.0,52.0189261,4.5236303
"Jardin d'Hiverre & het Groene Paviljoen, dé groenste evenementenlocaties","Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,13348,4.1,52.0827588,4.8368173
Koninklijke Jaarbeurs beurs- en congresgebouw,"Jaarbeursplein 6, 3521 AL Utrecht",jaarbeurs.nl,030 295 5911,6,3.8,52.1200804,4.8654209
Event Center Culemborg B.V.,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,51.9404424,4.929695
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,190,4.3,52.0827588,4.8368173
Event Center Culemborg B.V.,"Textielweg 20, 4104 AM Culemborg",eventcenterculemborg.nl,,6,3.8,52.2200236,4.9519967
Centraal Museum Evenementen,"Nicolaasdwarsstraat 14, 3512 XH Utrecht",centraalmuseum.nl,030 236 2317,21,4.8,52.0858427,4.8149391
